127.0.0.1 - - [08/Jun/2019:18:58:43 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [08/Jun/2019:18:58:45 +0900] "GET /WebUI/LADodgers/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2019:18:58:45 +0900] "GET /WebUI/LADodgers/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2019:18:58:45 +0900] "GET /WebUI/LADodgers/css/jquery.fancybox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2019:18:58:45 +0900] "GET /WebUI/LADodgers/imgs/1.jpg HTTP/1.1" 200 469957
0:0:0:0:0:0:0:1 - - [08/Jun/2019:18:58:45 +0900] "GET /WebUI/LADodgers/imgs/Dodgers.png HTTP/1.1" 200 2260
0:0:0:0:0:0:0:1 - - [08/Jun/2019:18:58:45 +0900] "GET /WebUI/LADodgers/js/bootstrap-hover-dropdown.js HTTP/1.1" 404 1173
0:0:0:0:0:0:0:1 - - [08/Jun/2019:18:58:45 +0900] "GET /WebUI/LADodgers/js/animatescroll.min.js HTTP/1.1" 200 4144
0:0:0:0:0:0:0:1 - - [08/Jun/2019:18:58:45 +0900] "GET /WebUI/LADodgers/js/waypoints.min.js HTTP/1.1" 200 8044
0:0:0:0:0:0:0:1 - - [08/Jun/2019:18:58:45 +0900] "GET /WebUI/LADodgers/imgs/2.jpg HTTP/1.1" 200 576268
0:0:0:0:0:0:0:1 - - [08/Jun/2019:18:58:45 +0900] "GET /WebUI/LADodgers/imgs/3.jpg HTTP/1.1" 200 228892
0:0:0:0:0:0:0:1 - - [08/Jun/2019:18:58:45 +0900] "GET /WebUI/LADodgers/imgs/4.jpg HTTP/1.1" 200 201261
0:0:0:0:0:0:0:1 - - [08/Jun/2019:18:58:45 +0900] "GET /WebUI/LADodgers/js/simpleparallax.js HTTP/1.1" 200 1306
0:0:0:0:0:0:0:1 - - [08/Jun/2019:18:58:45 +0900] "GET /WebUI/LADodgers/imgs/7.jpg HTTP/1.1" 200 410954
0:0:0:0:0:0:0:1 - - [08/Jun/2019:18:58:45 +0900] "GET /WebUI/LADodgers/imgs/6.jpg HTTP/1.1" 200 178492
0:0:0:0:0:0:0:1 - - [08/Jun/2019:18:58:45 +0900] "GET /WebUI/LADodgers/imgs/right.png HTTP/1.1" 200 15227
0:0:0:0:0:0:0:1 - - [08/Jun/2019:18:58:45 +0900] "GET /WebUI/LADodgers/js/jquery.fancybox.js HTTP/1.1" 200 48706
0:0:0:0:0:0:0:1 - - [08/Jun/2019:18:58:45 +0900] "GET /WebUI/LADodgers/js/bootstrap.min.js HTTP/1.1" 200 29110
0:0:0:0:0:0:0:1 - - [08/Jun/2019:18:58:45 +0900] "GET /WebUI/LADodgers/imgs/left.png HTTP/1.1" 200 15287
